City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1646,Praia Da Vitoria,PT,77.25,scattered clouds,38.7333,-27.0667,Hotel Branco I
1655,Waingapu,ID,78.48,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
1657,San Quintin,MX,79.63,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
1665,Half Moon Bay,US,82.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
1666,Port Blair,IN,80.91,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
1674,Aracati,BR,89.67,clear sky,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
1679,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1682,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
1683,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
1685,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1692,Pacific Grove,US,82.62,clear sky,36.6177,-121.9166,Lovers Point Inn
1693,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
1705,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Hotel Central
1710,Gaziantep,TR,77.56,clear sky,37.0594,37.3825,Novotel Gaziantep
1711,Kavieng,PG,81.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
1712,Sao Joao Da Barra,BR,87.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
1724,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1733,Bandarbeyla,SO,79.92,scattered clouds,9.4942,50.8122,JABIR HOTEL
1737,Samarai,PG,79.18,scattered clouds,-10.6167,150.6667,Nuli Sapi
1738,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
1742,Kerman,IR,75.06,clear sky,30.2832,57.0788,هتل آپارتمان آسام
1744,Sao Filipe,CV,80.13,scattered clouds,14.8961,-24.4956,Hotel Xaguate
1746,Piacabucu,BR,83.03,clear sky,-10.4056,-36.4344,Piaçabuçu News
1747,Caluquembe,AO,76.51,scattered clouds,-13.7833,14.6833,Hotel Kalukembe
1748,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
1751,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
1752,Kalmunai,LK,79.57,scattered clouds,7.4167,81.8167,VS Villa
1757,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1761,Kankon,IN,79.07,scattered clouds,15.0167,74.0167,Palolem Beach Resort
1763,Victoria,HK,86.38,light rain,22.2855,114.1577,Mini Hotel Central
1765,Sola,VU,77.32,overcast clouds,-13.8833,167.55,Leumerus Bungalows
1771,Faanui,PF,79.29,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
1773,San Juan,AR,84.13,clear sky,-31.5375,-68.5364,Hotel Provincial
1779,Eydhafushi,MV,80.64,overcast clouds,5.1033,73.0708,Soneva Fushi
1780,Cabo San Lucas,MX,81.95,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
1783,Cordoba,AR,85.05,dust,-31.4135,-64.1811,Hotel Sussex
1785,Nador,MA,77.07,scattered clouds,35.174,-2.9287,Hôtel La Giralda
1787,Gasa,PS,77.92,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
1792,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1793,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
1794,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
1800,Davila,PH,81.27,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
1806,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
1808,Bengkulu,ID,76.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
1810,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1819,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
1821,Fram,PY,77.59,overcast clouds,-26.9833,-55.8833,Albergue Ja'umina
1822,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1826,Poso,ID,77.54,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
1831,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1832,Guerrero Negro,MX,79.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
1837,Mayumba,GA,77.09,overcast clouds,-3.432,10.6554,LIKWALE LODGE
1839,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
